date,hour,am/pm,leavittlk_snowdepth_cm,leavittil_SWE_mm,,leavittmdw_SWE_mm,snow surface temperatureC,leavittmdw_snowdepth_mm,leavitt_snowtemp,leavit_swe_cm
4/1/2019 0:00,12:00:00,AM,513,2040,137,704,-9.13,5130,-8.33,13.7
4/1/2019 0:00,1:00:00,AM,513,2042,137,698,-7.45,5130,-6.65,13.7
4/1/2019 0:00,2:00:00,AM,511,2042,137,701,-7.4,5110,-6.6,13.7
4/1/2019 0:00,3:00:00,AM,511,2045,137,701,-7.84,5110,-7.04,13.7
4/1/2019 0:00,4:00:00,AM,511,2045,137,701,-6.74,5110,-5.94,13.7
4/1/2019 0:00,5:00:00,AM,513,2042,137,701,-6.42,5130,-5.62,13.7
4/1/2019 0:00,6:00:00,AM,511,2042,137,701,-6.13,5110,-5.33,13.7
4/1/2019 0:00,7:00:00,AM,511,2042,137,698,-4.62,5110,-3.82,13.7
4/1/2019 0:00,8:00:00,AM,508,2042,135,698,-2.81,5080,-2.01,13.5
4/1/2019 0:00,9:00:00,AM,508,2040,132,696,-0.47,5080,0.33,13.2
4/1/2019 0:00,10:00:00,AM,508,2042,132,696,-0.13,5080,0.67,13.2
4/1/2019 0:00,11:00:00,AM,508,2045,132,698,0,5080,0.8,13.2
4/1/2019 0:00,12:00:00,PM,508,2045,132,698,-0.03,5080,0.77,13.2
4/1/2019 0:00,1:00:00,PM,508,2047,132,701,0,5080,0.8,13.2
4/1/2019 0:00,2:00:00,PM,505,2050,132,698,0,5050,0.8,13.2
4/1/2019 0:00,3:00:00,PM,505,2055,130,704,-0.1,5050,0.7,13
4/1/2019 0:00,4:00:00,PM,505,2055,130,706,-0.07,5050,0.73,13
4/1/2019 0:00,5:00:00,PM,508,2057,132,701,-0.34,5080,0.46,13.2
4/1/2019 0:00,6:00:00,PM,508,2055,132,696,-0.62,5080,0.18,13.2
4/1/2019 0:00,7:00:00,PM,508,2055,132,693,-0.73,5080,0.07,13.2
4/1/2019 0:00,8:00:00,PM,511,2052,135,691,-1.23,5110,-0.43,13.5
4/1/2019 0:00,9:00:00,PM,513,2055,132,688,-1.94,5130,-1.14,13.2
4/1/2019 0:00,10:00:00,PM,513,2057,132,693,-2.17,5130,-1.37,13.2
4/1/2019 0:00,11:00:00,PM,516,2060,132,696,-2.2,5160,-1.4,13.2
4/2/2019 0:00,12:00:00,AM,513,2062,132,696,-2.41,5130,-1.61,13.2
4/2/2019 0:00,1:00:00,AM,518,2065,132,698,-2.74,5180,-1.94,13.2
4/2/2019 0:00,2:00:00,AM,518,2068,135,701,-2.57,5180,-1.77,13.5
4/2/2019 0:00,3:00:00,AM,521,2075,132,706,-2.48,5210,-1.68,13.2
4/2/2019 0:00,4:00:00,AM,521,2078,135,706,-2.58,5210,-1.78,13.5
4/2/2019 0:00,5:00:00,AM,521,2078,132,701,-2.76,5210,-1.96,13.2
4/2/2019 0:00,6:00:00,AM,521,2075,132,693,-2.88,5210,-2.08,13.2
4/2/2019 0:00,7:00:00,AM,523,2073,135,693,-3.07,5230,-2.27,13.5
4/2/2019 0:00,8:00:00,AM,521,2075,130,693,-2.31,5210,-1.51,13
4/2/2019 0:00,9:00:00,AM,523,2073,130,688,-2.04,5230,-1.24,13
4/2/2019 0:00,10:00:00,AM,521,2070,130,688,-2.05,5210,-1.25,13
4/2/2019 0:00,11:00:00,AM,523,2075,130,688,-2.62,5230,-1.82,13
4/2/2019 0:00,12:00:00,PM,526,2078,130,688,-2.89,5260,-2.09,13
4/2/2019 0:00,1:00:00,PM,523,2075,132,681,-3.05,5230,-2.25,13.2
4/2/2019 0:00,2:00:00,PM,528,2080,132,683,-3.62,5280,-2.82,13.2
4/2/2019 0:00,3:00:00,PM,528,2080,132,683,-3.76,5280,-2.96,13.2
4/2/2019 0:00,4:00:00,PM,533,2083,132,683,-4.05,5330,-3.25,13.2
4/2/2019 0:00,5:00:00,PM,536,2083,132,681,-4.1,5360,-3.3,13.2
4/2/2019 0:00,6:00:00,PM,536,2080,132,678,-4.02,5360,-3.22,13.2
4/2/2019 0:00,7:00:00,PM,536,2080,132,676,-4.16,5360,-3.36,13.2
4/2/2019 0:00,8:00:00,PM,533,2080,132,671,-4.34,5330,-3.54,13.2
4/2/2019 0:00,9:00:00,PM,536,2078,135,665,-5.53,5360,-4.73,13.5
4/2/2019 0:00,10:00:00,PM,536,2078,135,668,-8.01,5360,-7.21,13.5
4/2/2019 0:00,11:00:00,PM,533,2078,135,665,-9.39,5330,-8.59,13.5
4/3/2019 0:00,12:00:00,AM,533,2080,135,665,-9.53,5330,-8.73,13.5
4/3/2019 0:00,1:00:00,AM,533,2078,135,665,-7.84,5330,-7.04,13.5
4/3/2019 0:00,2:00:00,AM,533,2078,135,665,-8.79,5330,-7.99,13.5
4/3/2019 0:00,3:00:00,AM,533,2080,135,665,-10.07,5330,-9.27,13.5
4/3/2019 0:00,4:00:00,AM,533,2080,135,665,-11.41,5330,-10.61,13.5
4/3/2019 0:00,5:00:00,AM,533,2078,135,663,-11.82,5330,-11.02,13.5
4/3/2019 0:00,6:00:00,AM,533,2078,135,660,-11.36,5330,-10.56,13.5
4/3/2019 0:00,7:00:00,AM,531,2075,130,660,-9.66,5310,-8.86,13
4/3/2019 0:00,8:00:00,AM,528,2073,130,658,-6.71,5280,-5.91,13
4/3/2019 0:00,9:00:00,AM,528,2075,130,660,-3.54,5280,-2.74,13
4/3/2019 0:00,10:00:00,AM,528,2073,130,658,-1.33,5280,-0.53,13
4/3/2019 0:00,11:00:00,AM,528,2073,127,658,-1.06,5280,-0.26,12.7
4/3/2019 0:00,12:00:00,PM,526,2073,130,660,-0.72,5260,0.08,13
4/3/2019 0:00,1:00:00,PM,526,2073,127,655,-0.62,5260,0.18,12.7
4/3/2019 0:00,2:00:00,PM,523,2075,127,655,-0.46,5230,0.34,12.7
4/3/2019 0:00,3:00:00,PM,523,2078,130,658,-0.97,5230,-0.17,13
4/3/2019 0:00,4:00:00,PM,523,2080,127,658,-2.15,5230,-1.35,12.7
4/3/2019 0:00,5:00:00,PM,526,2080,130,655,-4.09,5260,-3.29,13
4/3/2019 0:00,6:00:00,PM,526,2080,130,655,-4.75,5260,-3.95,13
4/3/2019 0:00,7:00:00,PM,526,2080,130,655,-4.82,5260,-4.02,13
4/3/2019 0:00,8:00:00,PM,526,2080,130,650,-5.53,5260,-4.73,13
4/3/2019 0:00,9:00:00,PM,526,2080,130,650,-5.8,5260,-5,13
4/3/2019 0:00,10:00:00,PM,526,2083,130,653,-4.77,5260,-3.97,13
4/3/2019 0:00,11:00:00,PM,526,2085,132,653,-5.78,5260,-4.98,13.2
4/4/2019 0:00,12:00:00,AM,526,2085,132,653,-7.02,5260,-6.22,13.2
4/4/2019 0:00,1:00:00,AM,526,2085,132,655,-8.45,5260,-7.65,13.2
4/4/2019 0:00,2:00:00,AM,523,2088,132,658,-9.42,5230,-8.62,13.2
4/4/2019 0:00,3:00:00,AM,526,2090,132,660,-9.86,5260,-9.06,13.2
4/4/2019 0:00,4:00:00,AM,526,2093,130,660,-10.9,5260,-10.1,13
4/4/2019 0:00,5:00:00,AM,523,2093,132,660,-11.28,5230,-10.48,13.2
4/4/2019 0:00,6:00:00,AM,526,2093,132,660,-9.72,5260,-8.92,13.2
